,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Net Üretim,41,41,42,61,63,81,89,97,106,118,136,158,200,207,258,280,317,359,378,373,396,430,459,487,541,586,634,679,764,878,1012,1191,1347,1545,1757,1961,2170,2395,2585,3059,3406,3780,4237,4729,5269,5870,6687,7308,8289,"9,427","10,365","11,184","13,210","15,547","17,255","18,078","18,361","18,736","20,127","21,422","21,809","24,509","26,966","30,789","35,278","38,437","41,611","46,401","47,574","52,589","57,955","60,270","66,420","72,555","77,688","82,585","87,300","92,786","91,298","98,145","110,178","120,986","130,578","143,878","155,660","160,311","156,485","171,753","184,060","190,906","190,680","201,109","211,877","224,541","247,744","257,119","255,519","260,678","286,123","281,210","282,747"
İthalat (+),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,332,492,621,"1,044","1,341","1,616","1,773","2,221","2,653","2,142",777,572,381,559,176,759,189,213,31,0,270,"2,492","3,299","2,330","3,791","4,579","3,588","1,158",464,636,573,864,789,812,"1,144","4,556","5,827","7,429","7,953","7,136","6,330","2,728","2,477","2,212","1,890","2,334","6,439","6,094"
İhracat (-),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-907,-506,-314,-589,-570,-696,-343,-271,-298,-285,-437,-433,-435,-588,"-1,144","-1,798","-2,236","-2,422","-1,122","-1,546","-1,918","-3,645","-2,954","-1,227","-2,696","-3,195","-1,452","-3,304","-3,112","-2,789","-2,484","-4,186","-3,713","-2,076"
Elektrik Arzı,41,41,42,61,63,81,89,97,106,118,136,158,200,207,258,280,317,359,378,373,396,430,459,487,541,586,634,679,764,878,"1,012","1,191","1,347","1,545","1,757","1,961","2,170","2,395","2,585","3,059","3,406","3,780","4,237","4,729","5,269","5,870","6,687","7,308","8,289","9,427","10,365","11,184","13,306","15,879","17,747","18,699","19,405","20,077","21,743","23,195","24,030","27,162","29,108","31,566","35,850","38,818","42,170","45,670","47,827","52,464","57,579","59,731","65,724","72,482","79,909","85,586","89,345","96,140","95,444","101,298","110,748","120,306","129,416","142,215","154,102","159,978","155,751","170,979","184,971","193,779","196,882","206,366","215,818","229,419","247,168","256,484","254,942","260,083","284,271","283,936","286,765"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Çevrim ve Enerji Sektörü,41,41,42,61,63,81,89,97,106,118,136,158,200,207,258,280,317,359,378,373,396,430,459,487,541,586,634,679,764,878,1012,1191,1347,1545,1757,1961,2170,2395,2585,3059,3406,3780,4237,4729,5269,5870,6687,7308,8289,"9,427","10,365","11,184","13,210","15,547","17,255","18,078","18,361","18,736","20,127","21,422","21,809","24,509","26,966","30,789","35,278","38,437","41,611","46,401","47,574","52,589","57,955","60,270","66,420","72,555","77,688","82,585","87,300","92,786","91,298","98,145","110,178","120,986","130,578","143,878","155,660","160,311","156,485","171,753","184,060","190,906","190,680","201,109","211,877","224,541","247,744","257,119","255,519","260,678","286,123","281,210","282,747"
Elektrik Santralları Brüt Üretimi,45,45,45,66,70,89,98,106,118,132,152,175,223,231,290,312,353,396,415,408,457,496,527,563,625,676,737,789,888,1020,1201,1402,1580,1819,2056,2303,2587,2815,3011,3559,3983,4451,4952,5551,6217,6936,7838,8623,9781,"11,242","12,425","13,477","15,623","18,283","20,565","21,726","22,522","23,275","24,673","26,552","27,347","30,614","34,219","39,695","44,353","48,049","52,043","57,543","60,246","67,342","73,808","78,322","86,247","94,862","103,296","111,022","116,440","124,922","122,725","129,400","140,581","150,698","161,956","176,300","191,558","198,418","194,813","211,208","229,396","239,497","240,154","251,963","261,784","274,408","297,278","304,802","303,898","306,703","334,723","328,379","331,149"
Petrol Rafinerileri Tüketimi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-165,-175,-186,-200,-222,-235,-258,-321,-287,-392,-435,-474,-600,-644,-847,-903,-950,"-1,150","-1,456","-1,521","-1,658","-1,670","-1,670","-1,675","-1,976","-2,119","-1,857","-2,156","-1,625","-1,650","-1,018",-837,-847,-855,"-1,033","-1,969","-1,143","-1,072","-1,129","-1,144","-1,162","-1,009","-1,495","-1,784","-1,854","-1,748","-2,332","-2,619","-2,420","-2,640","-2,607"
İç Tüketim ve Kayıp,-3,-3,-3,-5,-7,-8,-9,-10,-12,-14,-16,-18,-23,-24,-32,-32,-37,-37,-38,-36,-62,-66,-69,-76,-84,-91,-103,-111,-124,-142,-188,-211,-233,-274,-300,-342,-417,-419,-426,-500,-577,-670,-716,-822,-948,-1066,-1151,-1315,-1492,"-1,715","-1,895","-2,118","-2,227","-2,536","-3,088","-3,413","-3,903","-4,218","-4,259","-4,738","-5,103","-5,631","-6,653","-8,262","-8,228","-8,709","-9,482","-9,992","-11,216","-13,232","-14,195","-16,382","-18,158","-20,632","-23,632","-26,318","-27,283","-29,980","-29,801","-29,605","-29,385","-28,876","-30,531","-31,567","-34,865","-36,138","-37,185","-38,383","-44,207","-47,447","-48,311","-49,845","-48,412","-48,083","-47,680","-45,935","-46,047","-43,407","-46,180","-44,529","-45,796"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nihai Tüketim,41,41,42,61,63,81,89,97,106,118,136,158,200,207,258,280,317,359,378,373,396,430,459,487,541,586,634,679,764,878,1012,1191,1347,1545,1757,1961,2170,2395,2585,3059,3406,3780,4237,4729,5269,5870,6687,7308,8289,"9,427","10,365","11,184","13,306","15,879","17,747","18,699","19,405","20,077","21,743","23,195","24,030","27,162","29,108","31,566","35,850","38,818","42,170","45,670","47,827","52,464","57,579","59,731","65,724","72,482","79,909","85,586","89,345","96,140","95,445","101,298","110,748","120,305","129,416","142,216","154,102","159,979","155,751","170,979","184,972","193,779","196,882","206,366","215,818","229,419","247,169","256,484","254,942","260,083","284,271","283,936","286,765"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanayi Tüketimi,33,33,34,48,51,65,71,77,84,93,108,124,157,162,202,219,247,277,293,292,312,341,366,382,419,448,480,509,571,657,752,884,992,1142,1296,1446,1593,1751,1860,2246,2497,2799,3079,3470,3834,4273,4865,4690,5345,"6,092","6,920","7,404","8,559","10,305","11,761","12,171","12,280","12,687","13,919","14,806","15,141","17,553","19,008","20,242","23,026","24,355","26,653","28,062","27,056","30,015","32,589","32,468","36,337","38,963","41,515","44,020","44,623","46,686","45,365","48,642","54,081","58,042","58,721","67,172","73,702","72,881","69,327","78,259","86,852","91,158","92,090","96,768","102,040","106,514","114,629","115,964","113,344","117,409","134,969","130,698","127,665"
Gıda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,726","5,806","5,936","6,056","5,736","5,997","6,116","6,478","6,335","7,403","8,387","8,560","8,794"
Şeker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173,164,176,192,219,279,307,283,283,273,357,369,326,387,436,482,394,377,380,400,400,550,300,357,340,347,355,362,370,377,385,392,399,407,414,422,429,503,574,545,531,623,547,552,627,627,593,657,686,728,712,832
Tekstil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,643","14,514","14,626","15,621","15,521","15,920","17,022","18,077","17,506","17,299","20,286","19,819","17,291"
Kağıt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,535","2,659","2,667","3,211","3,269","3,398","3,506","3,439","3,600","3,730","4,257","4,490","4,390"
Seramik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,883","1,997","1,956","2,042","2,287","2,116","2,286","2,273","2,088","2,226","2,741","3,054","2,732"
Cam ve Cam Ürünleri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,982,944,"1,331","1,574","1,694","1,961","2,169","2,033","1,883","1,852","2,039","2,497","2,424"
