,,
,,
,Gıda,Gıda Ürünleri İmalatı (10)                                        
,Şeker,Şeker Üretimi (10.81)
,Tekstil,Tekstil Ürünleri İmalatı(13)                                              Giyim Eşyalarının İmalatı(14)                                          Deri ve İlgili Ürünlerinin İmalatı(15)
,Kağıt,"Kağıt ve Ürünlerinin İmalatı (17,18)"
,Seramik,Seramik Ürünleri İmalatı (23)
,Cam ve Cam Ürünleri,Cam Ürünleri İmalatı (23)
,Kimya-Petrokimya,"Kimyasal Ürünlerin İmalatı (20)                          Eczacılık Ürünlerinin İmalatı (21)                                 Kauçuk,Plastik Ürünlerin İmalatı (22)"
,Gübre,Gübre (20)”
,Çimento,Çimento Ürünleri İmalatı (23)
,Demirçelik,Demir-Çelik Ürünleri İmalatı (24)
,Demirdışı Metaller,Demir Dışı Metal Ürünlerin İmalatı (24)
,Motorlu Kara Taşıt Sanayi,Motorlu Kara Taşıtları İmalatı (29)
,Diğer Sanayi,Diğerleri
