top level category,sub category, sub category, sub category
Gıda,Gıda Ürünleri İmalatı
Şeker,Şeker Üretimi
Tekstil,Tekstil Ürünleri İmalatı, Giyim Eşyalarının İmalatı, Deri ve İlgili Ürünlerinin İmalatı
Kağıt,Kağıt ve Ürünlerinin İmalatı
Seramik, Seramik Ürünleri İmalatı
Cam ve Cam Ürünleri, Cam Ürünleri İmalatı
Kimya-Petrokimya, Kimyasal Ürünlerin İmalatı, Eczacılık Ürünlerinin İmalatı, Kauçuk ve Plastik Ürünlerin İmalatı
Gübre
Çimento, Çimento Ürünleri İmalatı 
Demirçelik, Demir-Çelik Ürünleri İmalatı
Demirdışı Metaller,Demir Dışı Metal Ürünlerin İmalatı
Motorlu Kara Taşıt Sanayi, Motorlu Kara Taşıtları İmalatı
Diğer Sanayi
