year,category,source_row,Taş Kömürü,Linyit,Asfaltit,Kömür Toplamı,Kömürden Türetilmiş Yakıtlar,Ham Petrol,Petrol Koku,Fuel Oil,Motorin,Benzin,LPG,Rafineri Gazı,Havacılık Yakıtı,Gaz Yağı,Nafta,Ara Ürünler,Madeni ve Baz Yağlar,Beyaz İspirto,Bitümen,Diğer,Deniz Motorini,Denizcilik Yakıtı,Petrol Ürünleri Toplamı,Doğal Gaz,Biyoenerji ve Atıklar,Hidrolik,Rüzgar,Güneş,Jeotermal Elektrik,Jeotermal ve Diğer Isı,Elektrik,Toplam,Kömürden Türetilmiş Gazlar,Petrol,Doğalgaz,Hava Gazı
1972,Yerli Üretim (+),2,2831,2203.0,72,5106,,,,,,,,,,,,,,,,,,,3557,,6239,276,,,,38.0,,15216.0,,,,
1972,İthalat (+),3,,,,,,,,,,,,,,,,,,,,,,,8649,,,,,,,,,8649.0,,,,
1972,İhracat (-),4,,,,,,,,,,,,,,,,,,,,,,,923,,,,,,,,,923.0,,,,
1972,İhrakiye (-),5,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,110.0,,,,
1972,Stok Değişimi (+/-),6,-2,4.0,,2,25,,,,,,,,,,,,,,,,,,-110,,,,,,,,,-83.0,,,,
1972,ENERJİ ÜRÜNLERİ ARZI,8,2829,2207.0,72,5108,25,,,,,,,,,,,,,,,,,,10726,,6239,276,,,,38.0,,22412.0,,,,
1972,İstatistiksel Fark (+/-),9,,,,,,,,,,,,,,,,,,,,,,,-337,,,,,,,,,-337.0,,,,
1972,ÇEVRİM VE ENERJİ SEKTÖRÜ,11,-1930,-361.0,,-2291,1063,,,,,,,,,,,,,,,,,,-2143,,,-276,,,,,811.0,-2836.0,,,,
1972,Elektrik ve Isı Üretimi,12,-636,-349.0,,-985,,,,,,,,,,,,,,,,,,,-1255,,,-276,,,,,967.0,-1549.0,,,,
1972,İkincil Kömür Üreten/Tüketen Tesisler,13,-1294,-12.0,,-1306,1063,,,,,,,,,,,,,,,,,,-5,,,,,,,,,-248.0,,,,
1972,Petrol Rafinerileri,14,,,,,,,,,,,,,,,,,,,,,,,-560,,,,,,,,,-560.0,,,,
1972,İç Tüketim ve Kayıp,15,,,,,-1,,,,,,,,,,,,,,,,,,-323,,,,,,,,-9.0,-333.0,,,,
1972,TOPLAM NİHAİ ENERJİ TÜKETİMİ,17,899,1845.0,72,2816,1087,,,,,,,,,,,,,,,,,,8583,,6239,,,,,38.0,811.0,19574.0,,,,
1972,İstatistiksel Fark (+/-),18,,,,,,,,,,,,,,,,,,,,,,,-337,,,,,,,,,-337.0,,,,
1972,SEKTÖRLER TOPLAMI,19,899,1845.0,72,2816,1087,,,,,,,,,,,,,,,,,,8583,,6239,,,,,38.0,811.0,19574.0,,,,
1972,SANAYİ TÜKETİMİ,21,223,757.0,,980,837,,,,,,,,,,,,,,,,,,2459,,,,,,,,524.0,4800.0,,,,
1972,Gıda,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,Şeker,23,15,120.0,,135,,,,,,,,,,,,,,,,,,,70,,,,,,,,15.0,220.0,,,,
1972,Tekstil,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,Kağıt,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,Kimya-Petrokimya,26,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,150.0,,,,
1972,Gübre,27,,250.0,,250,,,,,,,,,,,,,,,,,,,27,,,,,,,,,277.0,,,,
1972,Cam ve Cam Ürünleri,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,Seramik,29,191,,,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.0,,,,
1972,Çimento,30,16,127.0,,143,,,,,,,,,,,,,,,,,,,1076,,,,,,,,89.0,1308.0,,,,
1972,Demir-Çelik,31,,2.0,,2,785,,,,,,,,,,,,,,,,,,134,,,,,,,,82.0,1003.0,,,,
1972,Demir Dışı Metaller,32,,,,,,,,,,,,,,,,,,,,,,,74,,,,,,,,20.0,94.0,,,,
1972,Motorlu Kara Taşıtları Sanayi,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,Diğer Sanayi,34,,259.0,,259,51,,,,,,,,,,,,,,,,,,798,,,,,,,,243.0,1351.0,,,,
1972,ULAŞTIRMA,36,490,40.0,,530,12,,,,,,,,,,,,,,,,,,3333,,,,,,,,9.0,3884.0,,,,
1972,Demiryolları,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,Denizyolları,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,Havayolları,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,Boru Hatları,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,Karayolları,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,DİĞER SEKTÖRLER,43,187,1048.0,72,1307,238,,,,,,,,,,,,,,,,,,2405,,6239,,,,,38.0,278.0,10505.0,,,,
1972,Konut ve Hizmetler,44,187,1048.0,72,1307,238,,,,,,,,,,,,,,,,,,1692,,6239,,,,,38.0,273.0,9787.0,,,,
1972,Tarım ve Hayvancılık,45,,,,,,,,,,,,,,,,,,,,,,,713,,,,,,,,4.0,717.0,,,,
1972,ENERJİ DIŞI TÜKETİM,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
