Yıllar,Taş Kömür,Linyit,Asfaltit,Kömür Toplam,Fuel Oil,Motorin,LPG,Nafta,Petrol Ürünleri Toplamı,Doğalgaz,Biyoenerji ve Atıklar,Toplam Termik,Hidrolik,Rüzgar,Güneş,Jeotermal,Toplam
1923,27.3,0.1,0,27.4,2.2,0.1,0.0,0.0,2.3,0.0,0.0,29.7,0.1,0.0,0.0,0.0,29.8
1924,27.333,0.1,0,27.433,2.2,0.1,0.0,0.0,2.3,0.0,0.0,29.733,0.1,0.0,0.0,0.0,29.833
1925,27.613,0.13,0,27.743,2.9,0.1,0.0,0.0,3.004,0.0,0.08,30.827,0.13,0.0,0.0,0.0,30.957
1926,44.529,0.13,0,44.659,4.2,0.1,0.0,0.0,4.347,0.0,0.546,49.552,0.642,0.0,0.0,0.0,50.194
1927,44.641,0.13,0,44.771,5.835,0.055,0.0,0.0,5.89,0.0,0.588,51.249,0.664,0.0,0.0,0.0,51.913
1928,50.265,0.155,0,50.42,10.768,0.398,0.0,0.0,11.166,0.0,0.777,62.363,1.08,0.0,0.0,0.0,63.443
1929,52.865,0.198,0,53.063,11.26,0.742,0.0,0.0,12.002,0.0,0.839,65.904,2.12,0.0,0.0,0.0,68.024
1930,53.05,0.24,0,53.29,16.769,1.618,0.0,0.0,18.387,0.0,0.839,72.516,2.12,0.0,0.0,0.0,74.636
1931,73.417,0.284,0,73.701,17.381,2.241,0.0,0.0,19.622,0.0,2.088,95.411,2.88,0.0,0.0,0.0,98.291
1932,74.49,0.384,0,74.874,17.197,2.809,0.0,0.0,20.006,0.0,2.147,97.027,3.235,0.0,0.0,0.0,100.262
1933,77.958,0.384,0,78.342,16.861,3.37,0.0,0.0,20.231,0.0,2.161,100.734,3.26,0.0,0.0,0.0,103.994
1934,85.148,0.444,0,85.592,16.842,4.023,0.0,0.0,20.865,0.0,2.203,108.66,3.854,0.0,0.0,0.0,112.514
1935,86.346,5.013,0,91.359,16.517,4.632,0.0,0.0,21.149,0.0,2.228,114.736,4.424,0.0,0.0,0.0,119.16
1936,101.055,5.733,0,106.788,16.478,5.353,0.0,0.0,21.831,0.0,2.228,130.847,5.913,0.0,0.0,0.0,136.76
1937,112.879,11.405,0,124.284,16.469,6.134,0.0,0.0,22.603,0.0,2.359,149.246,6.185,0.0,0.0,0.0,155.431
1938,119.657,11.757,0,131.414,16.481,6.983,0.0,0.0,23.464,0.0,2.498,157.376,6.215,0.0,0.0,0.0,163.591
1939,151.407,15.342,0,166.749,17.722,8.486,0.0,0.0,26.208,0.0,2.591,195.548,6.97,0.0,0.0,0.0,202.518
1940,95.0,53.2,0,148.2,44.0,16.2,0.0,0.0,60.2,0.0,0.8,209.2,7.8,0.0,0.0,0.0,217.0
1941,95.0,53.2,0,148.2,44.0,20.7,0.0,0.0,64.7,0.0,0.9,213.8,8.2,0.0,0.0,0.0,222.0
1942,95.0,53.2,0,148.2,44.0,25.4,0.0,0.0,69.4,0.0,0.9,218.5,8.2,0.0,0.0,0.0,226.7
1943,102.5,53.2,0,155.7,44.0,27.6,0.0,0.0,71.6,0.0,0.9,228.2,8.2,0.0,0.0,0.0,236.4
1944,102.5,55.4,0,157.9,44.0,32.9,0.0,0.0,76.9,0.0,0.9,235.7,8.2,0.0,0.0,0.0,243.9
1945,102.5,55.4,0,157.9,44.2,34.8,0.0,0.0,79.0,0.0,1.0,237.9,8.2,0.0,0.0,0.0,246.1
1946,102.5,55.4,0,157.9,44.2,35.4,0.0,0.0,79.6,0.0,1.0,238.5,9.0,0.0,0.0,0.0,247.4
1947,102.5,55.4,0,157.9,46.2,37.2,0.0,0.0,83.4,0.0,1.0,242.3,9.1,0.0,0.0,0.0,251.4
1948,144.6,55.4,0,200.0,46.2,49.0,0.0,0.0,95.2,0.0,1.0,296.2,9.3,0.0,0.0,0.0,305.5
1949,207.9,59.5,0,267.4,46.2,57.2,0.0,0.0,103.4,0.0,1.0,371.8,10.0,0.0,0.0,0.0,381.8
1950,212.6,59.5,0,272.1,50.2,66.5,0.0,0.0,116.7,0.0,1.1,389.9,17.9,0.0,0.0,0.0,407.8
1951,216.2,63.2,0,279.4,52.0,66.7,0.0,0.0,118.7,0.0,1.1,399.2,24.0,0.0,0.0,0.0,423.2
1952,225.6,65.5,0,291.1,52.0,67.7,0.0,0.0,119.7,0.0,1.2,412.0,25.8,0.0,0.0,0.0,437.8
1953,250.1,79.3,0,329.4,55.0,84.1,0.0,0.0,139.1,0.0,1.6,470.1,29.4,0.0,0.0,0.0,499.5
1954,250.2,85.0,0,335.2,58.5,84.7,0.0,0.0,143.2,0.0,1.8,480.2,36.7,0.0,0.0,0.0,516.9
1955,293.2,97.0,0,390.2,64.6,116.5,0.0,0.0,181.1,0.0,2.2,573.5,38.1,0.0,0.0,0.0,611.6
1956,345.8,164.9,0,510.7,91.3,127.7,0.0,0.0,219.0,0.0,2.2,731.9,154.2,0.0,0.0,0.0,886.1
1957,345.8,209.3,0,555.1,91.3,128.9,0.0,0.0,220.2,0.0,2.3,777.6,161.8,0.0,0.0,0.0,939.4
1958,348.3,218.0,0,566.3,91.3,149.2,0.0,0.0,240.5,0.0,2.3,809.1,220.9,0.0,0.0,0.0,1030.0
1959,348.3,218.0,0,566.3,91.3,183.5,0.0,0.0,274.8,0.0,2.3,843.4,317.6,0.0,0.0,0.0,1161.0
